name_en,name_ko,tier,region_group,ko_source,note
Benmore Valley,벤모어 밸리,AVA,,auto,
Bennett Valley,베넷 밸리,AVA,,auto,
Bereich Burg Cochem,부르크 코헴,,,manual,
Bergerac,베르주라크,,,added,
Bierzo,비에르소,,,manual,
Biferno,비페르노,,,manual,
Big Valley District-Lake County,빅 밸리 레이크 카운티,AVA,,auto,
Biscoitos,비스코이투스,IPR,,manual,
Bivongi,비봉기,DOC,,manual,
Bizeljsko-Sremič,비젤스코 스레미치,,,manual,
Bolgheri,볼게리,,,manual,
Bonnes-Mares,본 마르,,,added,
Bonnezeaux,보느조,,,manual,
Borba,보르바,DOC,,manual,
Bordeaux,보르도,,,manual,
Borden Ranch,보든 랜치,AVA,,auto,
Bourgogne,부르고뉴,,,added,
Bourgueil,부르괴이,,,added,
Breedekloof,브레데클루프,,,manual,
Breganze,브레간체,,,manual,
Bridge Pa Triangle,브리지 파 트라이앵글,,,manual,
Brindisi,브린디시,,,manual,
Broke Fordwich,브로크 포드위치,,,manual,
Brouilly,브루이,,,added,
Brunello di Montalcino,브루넬로 디 몬탈치노,,,added,
Bucelas,부셀라스,DOC,,manual,
Burgenland,부르겐란트,,,added,
Burgundy,부르고뉴,,,manual,
Béarn,베아른,AOC,,manual,
Cachapoal Valley,카차포알 밸리,,,manual,
Cadillac,카디약,AOC,,manual,
Cahors,카오르,,,added,
Calatayud,칼라타유드,PDO,,manual,
California,캘리포니아,,,wikidata,
California Shenandoah Valley,캘리포니아 셰넌도어 밸리,AVA,,auto,
Calistoga,칼리스토가,AVA,,auto,
Campania,캄파니아,,,added,
Campi Flegrei,캄피 플레그레이,,,manual,
Campidano,캄피다노,,,manual,
Campo Rotaliano,캄포 로탈리아노,,,manual,
Campo de Borja,캄포 데 보르하,DO,,manual,
Canavese,카나베제,,,manual,
Canberra District,캔버라 디스트릭트,,,manual,
Canelli,카넬리,,,manual,
Capay Valley,카페이 밸리,AVA,,auto,
Cape Agulhas,케이프 아굴라스,,,manual,
Cape May Peninsula,케이프 메이 페닌슐라,AVA,,auto,
Cape Point,케이프 포인트,,,auto,
Capo Milazzo,카포 밀라초,,,manual,
Capri,카프리,,,manual,
Carcavelos,카르카벨루스,DOC,,manual,
Cariñena,카리녜나,,,manual,
Carmel Valley,카멜 밸리,AVA,,auto,
Carmignano,카르미냐노,,,manual,
Carneros,카네로스,,,added,
Carso,카르소,,,manual,
Cartaxo,카르타슈,IPR,,manual,
Casablanca Valley,카사블랑카 밸리,,,added,
Caserta,카세르타,,,manual,
Cassis,카시스,,,added,
Castel del Monte,카스텔 델 몬테,,,manual,
Castelo Rodrigo,카스텔루 로드리구,DOC,,manual,
Castilla y León,카스티야 이 레온,,,manual,
Castillon,카스티용,,,added,
Catoctin,카톡틴,AVA,,auto,
Cava,카바,,,added,
Cayuga Lake,카유가 레이크,AVA,,auto,
Central Coast,센트럴 코스트,AVA,,manual,
Central Delaware Valley,센트럴 델라웨어 밸리,AVA,,auto,
Central Otago,센트럴 오타고,,,manual,
Cerasuolo di Vittoria,체라수올로 디 비토리아,,,manual,
Cerveteri,체르베테리,,,manual,
Cesanese,체사네세,,,manual,
Chablis,샤블리,,,manual,
Chalk Hill,초크 힐,AVA,,auto,
Chalone,샬론,AVA,,auto,
Chambertin,샹베르탱,,,added,
Chambolle-Musigny,샹볼 뮈지니,,,added,
Champagne,샹파뉴,,,manual,
Chamusca,샤무스카,DOC,,manual,
Chassagne-Montrachet,샤사뉴 몽라셰,,,added,
Chateauneuf-du-Pape,샤토뇌프 뒤 파프,,,added,
Chaves,샤브스,DOC,,manual,
Chehalem Mountains,체할렘 마운틴스,AVA,,auto,
Chenas,셰나,,,manual,
Chevalier-Montrachet,슈발리에 몽라셰,,,added,
Chianti,키안티,,,manual,
Chianti Classico,키안티 클라시코,,,manual,
Chiles Valley,차일스 밸리,AVA,,auto,
Chinon,시농,,,added,
Chiroubles,시루블,,,manual,
Château-Chalon,샤토 샬롱,AOC,,manual,
Châteaumeillant,샤토메이앙,,,manual,
Cienega Valley,시에네가 밸리,AVA,,auto,
Cilento,칠렌토,,,manual,
Cinque Terre,친퀘 테레,,,manual,
Circeo,치르체오,,,manual,
Cirò,치로,,,manual,
Clare Valley,클레어 밸리,,,manual,
Clarksburg,클라크스버그,AVA,,auto,
Clear Lake,클리어 레이크,AVA,,auto,
Clements Hills,클레멘츠 힐스,AVA,,auto,
Clos Saint-Denis,클로 생 드니,,,added,
Clos de Beze,클로 드 베즈,,,added,
Clos de Vougeot,클로 드 부조,,,added,
Clos de la Roche,클로 드 라 로슈,,,added,
Codru,코드루,,,manual,
Colares,콜라르스,DOC,,manual,
Colchagua Valley,콜차구아 밸리,,,manual,
Cole Ranch,콜 랜치,AVA,,auto,
Colli Albani,콜리 알바니,,,manual,
Colli Berici,콜리 베리치,,,manual,
Colli Bolognesi,콜리 볼로녜시,,,manual,
Colli Etruschi Viterbesi,콜리 에트루스키 비테르베시,,,manual,
Colli Euganei,콜리 에우가네이,,,manual,
Colli Martani,콜리 마르타니,,,manual,
Colli Orientali del Friuli,콜리 오리엔탈리 델 프리울리,,,manual,
Colli Pesaresi,콜리 페사레시,,,manual,
Colli Piacentini,콜리 피아첸티니,,,manual,
Colli Romagna Centrale,콜리 로마냐 첸트랄레,DOC,,manual,
Colli Tortonesi,콜리 토르토네시,,,manual,
Colli del Trasimeno,콜리 델 트라시메노,,,manual,
Colli di Conegliano,콜리 디 코넬리아노,,,manual,
Colli di Faenza,콜리 디 파엔차,,,manual,
Colli di Parma,콜리 디 파르마,,,manual,
Colli di Rimini,콜리 디 리미니,,,manual,
Colline Lucchesi,콜리네 루케시,,,manual,
Colline Novaresi,콜리네 노바레시,,,manual,
Colline Teramane,콜리네 테라마네,,,manual,
Collio,콜리오,,,manual,
Columbia Gorge,컬럼비아 고지,AVA,,auto,
Columbia Valley,컬럼비아 밸리,,,added,
Condrieu,콩드리외,,,added,
Conegliano,코넬리아노,,,added,
Conegliano Valdobbiadene,코넬리아노 발도비아데네,,,manual,
Contea di Sclafani,콘테아 디 스클라파니,,,manual,
Contessa Entellina,콘테사 엔텔리나,,,manual,
Contra Costa,콘트라 코스타,AVA,,auto,
Controguerra,콘트로구에라,,,manual,
Coombsville,쿰스빌,AVA,,auto,
Coonawarra,쿠나와라,,,added,
Corbieres,코르비에르,,,added,
Cornas,코르나스,,,added,
Corsica,코르시카,,,manual,
Corton,코르통,,,added,
Corton-Charlemagne,코르통 샤를마뉴,,,added,
Coruche,코루셰,DOC,,manual,
Costa d'Amalfi,코스타 다말피,,,manual,
Cosumnes River,코섬네스 리버,AVA,,auto,
Cote d'Or,코트 도르,,,added,
Cote des Blancs,코트 데 블랑,,,added,
Cote-Rotie,코트 로티,,,added,
Coteaux de Pierrevert,코토 드 피에르베르,AOC,,manual,
Coteaux du Languedoc,코토 뒤 랑그도크,,,manual,
Coteaux du Layon,코토 뒤 레용,,,added,
Coteaux du Loir,코토 뒤 루아르,,,manual,
Coteaux du Lyonnais,코토 뒤 리오네,,,manual,
Cotes de Blaye,코트 드 블라이,,,added,
Cotes de Bourg,코트 드 부르,,,added,
Cotes de Castillon,코트 드 카스티용,,,added,
Cova da Beira,코바 다 베이라,DOC,,manual,
Covelo,코벨로,AVA,,auto,
Cowra,카우라,,,manual,
Creston District,크레스턴,AVA,,auto,
Crozes-Hermitage,크로즈 에르미타주,,,added,
Crystal Springs of Napa Valley,크리스탈 스프링스 나파 밸리,AVA,,auto,
Cucamonga Valley,쿠카몽가 밸리,AVA,,auto,
Cumberland Valley,컴벌랜드 밸리,AVA,,auto,
Curico Valley,쿠리코 밸리,,,added,
Custoza,쿠스토차,,,manual,
Côte Chalonnaise,코트 샬로네즈,,,manual,
Côte Roannaise,코트 로아네즈,,,manual,
Côte de Beaune,코트 드 본,,,manual,
Côte de Nuits,코트 드 뉘,,,manual,
Côteaux du Giennois,코토 뒤 지에누아,,,manual,
Côtes de Provence,코트 드 프로방스,,,manual,
Côtes de Sambre et Meuse,코트 드 상브르 에 뫼즈,,,manual,
Côtes du Forez,코트 뒤 포레,,,manual,
Côtes du Jura,코트 뒤 쥐라,,,manual,
Côtes du Rhône,코트 뒤 론,AOC,,manual,
Côtes du Roussillon,코트 뒤 루시용,AOC,,manual,
Côtes du Ventoux,코트 뒤 방투,AOC,,manual,
Côtes du Vivarais,코트 뒤 비바레,AOC,,manual,
Côtes d’Auvergne,코트 도베르뉴,,,manual,
Côtes-de-saint-mont,코트 드 생 몽,,,manual,
Côtes-de-thongue,코트 드 통그,,,manual,
Côtes-du-Rhône Villages,코트 뒤 론 빌라주,AOC,,manual,
Dahlonega Plateau,달로네가 플래토,AVA,,auto,
Daunia,다우니아,,,manual,
Delia Nivolelli,델리아 니볼렐리,,,manual,
Diablo Grande,디아블로 그란데,AVA,,auto,
Diamond Mountain,다이아몬드 마운틴,,,added,
Diamond Mountain District,다이아몬드 마운틴,AVA,,auto,
Dingač,딘가치,,,manual,
Dolenjska,돌렌스카,,,manual,
Don Valley,돈 밸리,,,manual,
Donnici,돈니치,,,manual,
Dos Rios,도스 리오스,AVA,,auto,
Douro,도루,DOC,,manual,
Dry Creek Valley,드라이 크릭 밸리,,,added,
Dundee Hills,던디 힐스,AVA,,auto,
Dunnigan Hills,더니건 힐스,AVA,,auto,
Duriense,두리엔스,VR,,manual,
Dão,당,DOC,,manual,
Dézaley,데잘레,,,manual,
Eagle Foothills,이글 풋힐스,AVA,,auto,
Eagle Peak Mendocino County,이글 피크 멘도시노 카운티,AVA,,auto,
Eastern Connecticut Highlands,이스턴 코네티컷 하이랜즈,AVA,,auto,
Echezeaux,에셰조,,,added,
Eden Valley,에덴 밸리,,,manual,
Edna Valley,에드나 밸리,AVA,,auto,
Eger,에게르,,,manual,
El Dorado,엘 도라도,AVA,,auto,
El Pomar District,엘 포마,AVA,,auto,
Elba,엘바,,,manual,
Elkton Oregon,엘크턴,,,manual,
Eloro,엘로로,,,manual,
Emilia-Romagna,에밀리아 로마냐,,,added,
Encostas d'Aire,엔코스타스 다이르,DOC,,manual,
Encostas da Nave,엔코스타스 다 나브,IPR,,manual,
Entre-Deux-Mers,앙트르 되 메르,,,manual,
Eola-Amity Hills,이올라 애미티 힐스,AVA,,auto,
Epernay,에페르네,,,added,
Erice,에리체,,,manual,
Escondido Valley,에스콘디도 밸리,AVA,,auto,
Est Est Est,에스트 에스트 에스트,,,manual,
Etna,에트나,,,manual,
Euganean Hills,콜리 에우가네이,,,manual,
Fair Play,페어 플레이,AVA,,manual,
Falerno del Massico,팔레르노 델 마시코,,,manual,
Faugeres,포제르,,,added,
Fennville,펜빌,AVA,,auto,
Fiano di Avellino,피아노 디 아벨리노,,,added,
Fiddletown,피들타운,AVA,,auto,
Finger Lakes,핑거 레이크스,AVA,,manual,
Fitou,피투,AOC,,manual,
Fixin,픽생,,,added,
Fleurie,플뢰리,,,added,
Fort Ross-Seaview,포트 로스 시뷰,AVA,,auto,
Fountaingrove,파운틴그로브,AVA,,auto,
Fountaingrove District,파운틴그로브,AVA,,auto,
Franciacorta,프란차코르타,,,manual,
Franconia,프랑켄,,,manual,
Franken,프랑켄,,,added,
Franschhoek,프란슈후크,,,added,
Frascati,프라스카티,,,manual,
Fredericksburg in the Texas Hill Country,프레더릭스버그 텍사스 힐 컨트리,AVA,,auto,
Friuli,프리울리,,,added,
Friuli Annia,프리울리 안니아,DOC,,manual,
Friuli Aquileia,프리울리 아퀼레이아,,,manual,
Friuli Grave,프리울리 그라베,,,manual,
Friuli Isonzo,프리울리 이손초,,,manual,
Friuli Latisana,프리울리 라티사나,,,manual,
Friuli-Venezia Giulia,프리울리 베네치아 줄리아,,,added,
Fronsac,프롱삭,,,added,
Fronton,프롱통,AOC,,manual,
Gallura,갈루라,,,manual,
Gambellara,감벨라라,,,manual,
Garda Bresciano,가르다 브레시아노,,,manual,
Gavi,가비,,,manual,
Gevrey-Chambertin,주브레 샹베르탱,,,added,
Ghemme-Gattinara,겜메 가티나라,,,manual,
Gigondas,지공다스,,,added,
Gimblett Gravels,짐블렛 그래블스,,,manual,
Gioia del Colle,조이아 델 콜레,,,manual,
Givry,지브리,,,added,
Golfo del Tigullio,골포 델 티굴리오,,,manual,
Gorizia Hills,콜리오,,,manual,
Graciosa,그라시오자,IPR,,manual,
Grampians,그램피언스,,,manual,
Granada,그라나다,,,manual,
Grand River Valley,그랜드 리버 밸리,AVA,,auto,
Grand Valley,그랜드 밸리,AVA,,auto,
Grande Champagne,그랑드 샹파뉴,,,manual,
Grands Echezeaux,그랑 제셰조,,,added,
Granja-Amareleja,그란자 아마렐레자,DOC,,manual,
Graves,그라브,,,added,
Great Southern,그레이트 서던,,,manual,
Greco di Bianco,그레코 디 비앙코,,,manual,
Greco di Tufo,그레코 디 투포,,,added,
Green Valley of Russian River Valley,그린 밸리 러시안 리버 밸리,AVA,,auto,
Guenoc Valley,게녹 밸리,AVA,,auto,
Gundagai,건다가이,,,manual,
Hajós-Baja,허요시 버여,,,manual,
Hames Valley,헤임스 밸리,AVA,,auto,
Happy Canyon of Santa Barbara,해피 캐니언 산타 바바라,AVA,,auto,
Haut-Medoc,오메독,,,added,
Hautes-Côtes de Beaune,오트 코트 드 본,,,manual,
Haw River Valley,호 리버 밸리,AVA,,auto,
Hawke's Bay,호크스 베이,,,manual,
Heathcote,히스코트,,,manual,
Helderberg,헬더버그,,,manual,
Hemel-en-Aarde Valley,헤멜 엔 아르드 밸리,,,manual,
Hermann,허먼,AVA,,auto,
Hermitage,에르미타주,,,added,
Hessische Bergstraße,헤시셰 베르크슈트라세,,,manual,
Heuvelland,회벨란트,,,manual,
High Valley,하이 밸리,AVA,,auto,
Hilltops,힐탑스,,,manual,
Honeoye,허니오이,,,manual,
Horse Heaven Hills,호스 헤븐 힐스,AVA,,auto,
Howell Mountain,하웰 마운틴,AVA,,manual,
Hudson River Region,허드슨 리버,AVA,,auto,
Hunter Valley,헌터 밸리,,,added,
Indiana Uplands,인디애나 업랜즈,AVA,,auto,
Irpinia,이르피니아,,,manual,
Ischia,이스키아,,,manual,
Isle St. George,아일 세인트 조지,AVA,,auto,
Jahant,자한트,AVA,,auto,
Jasnières,자스니에르,,,manual,
Jerez,헤레스,,,added,
Julienas,쥘리에나,,,added,
Jumilla,후미야,,,added,
Jura,쥐라,,,added,
Jurancon,쥐랑송,,,added,
Kakheti,카헤티,,,added,
Kamptal,캄프탈,,,added,
Kanawha River Valley,커노와 리버 밸리,AVA,,auto,
Kelsey Bench-Lake County,켈시 벤치 레이크 카운티,AVA,,auto,
Knights Valley,나이츠 밸리,AVA,,auto,
Koelenhof,쿨렌호프,,,manual,
Koshu Valley,고슈 밸리,,,manual,
Kremstal,크렘스탈,,,added,
Kunság,쿤샤그,,,manual,
La Côte,라 코트,,,manual,
La Mancha,라 만차,,,added,
La Tache,라 타슈,,,added,
Lacrima di Morro d'Alba,라크리마 디 모로 달바,,,manual,
Lafões,라포엥스,IPR,,manual,
Lago di Corbara,라고 디 코르바라,,,manual,
Lagoa,라고아,DOC,,manual,
Lagos,라구스,DOC,,manual,
Lake Chelan,레이크 셸란,AVA,,auto,
Lake Erie,레이크 이리,AVA,,auto,
Lake Michigan Shore,레이크 미시간 쇼어,AVA,,auto,
Lake Wisconsin,레이크 위스콘신,AVA,,auto,
Lalande-de-Pomerol,라랑드 드 포므롤,,,added,
Lambrusco di Sorbara,람브루스코 디 소르바라,,,manual,
Lamezia,라메치아,,,manual,
Lamorinda,라모린다,AVA,,auto,
Lancaster Valley,랭커스터 밸리,AVA,,auto,
Landscape of the Pico Island Vineyard Culture,피쿠섬의 포도밭 문화 경관,,,wikidata,
Landscape of the Pico Island Vineyard Culture – buffer zone,피쿠 섬,,,manual,
Landscape of the Pico Island Vineyard Culture – part I,피쿠 섬,,,manual,
Landscape of the Pico Island Vineyard Culture – part II,피쿠 섬,,,manual,
Langhe,랑게,,,manual,
Langhorne Creek,랭혼 크릭,,,manual,
Languedoc,랑그도크,,,added,
Languedoc-Roussillon,랑그도크 루시용,,,manual,
Laurelwood District,로렐우드,AVA,,auto,
Lazio,라치오,,,added,
Le Colline del Prosecco di Conegliano e Valdobbiadene,콜리네 델 프로세코 디 코넬리아노 에 발도비아데네,,,manual,
Leelanau Peninsula,릴라노 페닌슐라,AVA,,auto,
Lehigh Valley,리하이 밸리,AVA,,auto,
Leona Valley,리오나 밸리,AVA,,auto,
Lessini,레시니,,,manual,
Lewis-Clark Valley,루이스 클라크 밸리,AVA,,auto,
Lime Kiln Valley,라임 킬른 밸리,AVA,,auto,
Linganore,린가노어,AVA,,auto,
Lipari,리파리,,,manual,
Lirac,리락,,,added,
Lisboa,리스보아,VR,,manual,
Lison-Pramaggiore,리손 프라마조레,,,manual,
Listrac-Medoc,리스트락 메독,,,added,
Livermore Valley,리버모어 밸리,AVA,,auto,
Locorotondo,로코로톤도,,,manual,
Locride,로크리데,,,manual,
Lodi,로다이,AVA,,manual,
Loess Hills District,뢰스 힐스,AVA,,auto,
Loire,루아르,,,added,
Loire Valley,루아르 밸리,,,manual,
Lombardy,롬바르디아,,,added,
Long Island,롱 아일랜드,AVA,,auto,
Loramie Creek,로라미 크릭,AVA,,auto,
Los Carneros,로스 카네로스,AVA,,auto,
Los Olivos District,로스 올리보스,AVA,,auto,
Lourinhã,로리냐,DOC,,manual,
Lower Long Tom,로어 롱 톰,AVA,,manual,
Lucera,루체라,,,manual,
Lugana,루가나,,,manual,
Macon,마콩,,,added,
Maconnais,마코네,,,added,
Madeira,마데이라,DOC,,manual,
Madera,마데라,AVA,,auto,
Madiran,마디랑,,,added,
Maipo Valley,마이포 밸리,,,added,
Malibu Coast,말리부 코스트,AVA,,auto,
Malibu-Newton Canyon,말리부 뉴턴 캐니언,AVA,,auto,
Mamertino,마메르티노,,,manual,
Mandrolisai,만드롤리사이,,,manual,
Manduria,만두리아,,,manual,
Mantovano,만토바노,,,manual,
Marche,마르케,,,added,
Maremma,마렘마,,,manual,
Margaret River,마가렛 리버,,,manual,
Margaux,마고,,,added,
Marino,마리노,,,manual,
Marlborough,말보로,,,manual,
Marmilla,마르밀라,,,manual,
Marsala,마르살라,,,manual,
Marsannay,마르사네,,,added,
Martha's Vineyard,마사스 빈야드,AVA,,manual,
Martinborough,마틴버러,,,added,
Matera,마테라,,,manual,
Maury,모리,AOC,,manual,
McDowell Valley,맥다월 밸리,AVA,,auto,
McLaren Vale,맥라렌 베일,,,manual,
McMinnville,맥미빌,AVA,,auto,
Medoc,메독,,,added,
Melissa,멜리사,,,manual,
Mendocino,멘도시노,AVA,,auto,
Mendocino County,멘도시노 카운티,,,auto,
Mendocino Ridge,멘도시노 리지,AVA,,auto,
Mendoza,멘도사,,,added,
Mendoza Province,멘도사,,,added,
Menetou-Salon,므네투 살롱,,,added,
Menfi,멘피,,,manual,
Meranese,메라네세,,,manual,
Mercurey,메르퀴레,,,added,
Mergelland,메르헬란트,,,manual,
Merritt Island,메릿 아일랜드,AVA,,auto,
Mesilla Valley,메시야 밸리,AVA,,auto,
Meursault,뫼르소,,,added,
Middle Rio Grande Valley,미들 리오 그란데 밸리,AVA,,auto,
Middleburg,미들버그,AVA,,auto,
Mikulovská,미쿨로프,,,manual,
Mimbres Valley,밈브레스 밸리,AVA,,auto,
Minervois,미네르부아,,,added,
Minho,미뉴,VR,,manual,
Mississippi Delta,미시시피 델타,AVA,,auto,
Missouri Rhineland,미주리 라인란트,,,manual,
Mittelrhein,미텔라인,,,manual,
Modena,모데나,,,manual,
Mokelumne River,모컬럼 리버,AVA,,auto,
Monbazillac,몽바지야크,,,added,
Monferrato,몬페라토,,,manual,
Monreale,몬레알레,,,manual,
Montagne de Reims,몽타뉴 드 랭스,,,manual,
Montagny,몽타니,,,added,
Montalcino,몬탈치노,,,manual,
Montana,몬태나,,,manual,
Montecarlo,몬테카를로,,,manual,
Montefalco,몬테팔코,,,manual,
Montello e Colli Asolani,몬텔로 에 콜리 아솔라니,,,manual,
Montepulciano,몬테풀차노,,,manual,
Montepulciano d'Abruzzo,몬테풀차노 다브루초,,,manual,
Monterey,몬터레이,AVA,,manual,
Montferrat,몬페라토,,,wikidata,
Monthelie,몽텔리,,,added,
Monticello,몬티첼로,AVA,,auto,
Montrachet,몽라셰,,,added,
Montsant,몬산트,,,added,
Moon Mountain District Sonoma County,문 마운틴 디스트릭트,,,manual,
Moravia,모라비아,,,manual,
Morellino di Scansano,모렐리노 디 스칸사노,,,manual,
Morey-Saint-Denis,모레 생 드니,,,added,
Morgon,모르공,,,added,
Moscatel de Setúbal,모스카텔 드 세투발,DOC,,manual,
Moscato d'Asti,모스카토 다스티,,,manual,
Mosel,모젤,,,manual,
Moselle,모젤,,,manual,
Moulin-a-Vent,물랭 아 방,,,added,
Moulis-en-Medoc,물리 앙 메독,,,added,
Mount Benson,마운트 벤슨,,,manual,
Mount Gambier,마운트 갬비어,,,manual,
Mount Harlan,마운트 할란,AVA,,manual,
"Mount Pisgah, Polk County, Oregon",마운트 피스가,AVA,,manual,
Mount Veeder,마운트 비더,AVA,,manual,
Moura,모우라,DOC,,manual,
Mudgee,머지,,,manual,
Muldersvlei district,물더스플레이,,,manual,
Murray Darling,머레이 달링,,,manual,
Muscadet,뮈스카데,,,added,
Musigny,뮈지니,,,added,
Mutěnice,무테니체,,,manual,
Mátra,마트라,,,manual,
Naches Heights,나체스 하이츠,AVA,,auto,
Nagambie Lakes,나감비 레이크스,,,manual,
Nahe,나에,,,manual,
Naoussa,나우사,,,added,
Napa Valley,나파 밸리,,,added,
Nashoba Valley,나쇼바 밸리,AVA,,auto,
Navarra,나바라,,,added,
Nemea,네메아,,,manual,
New Mexico,뉴멕시코,,,manual,
New Zealand,뉴질랜드,,,wikidata,
Niagara Escarpment,나이아가라 에스카프먼트,AVA,,auto,
Niederlausitz,니더라우지츠,,,manual,
Nierstein,니어슈타인,,,manual,
Nine Lakes of East Tennessee,나인 레이크스 이스트 테네시,AVA,,auto,
Nistreană,니스트레아나,,,manual,
Nitra,니트라,,,manual,
North Canterbury,노스 캔터베리,,,manual,
North Coast,노스 코스트,AVA,,auto,
North East Victoria,노스 이스트 빅토리아,,,manual,
North Fork of Long Island,노스 포크 롱 아일랜드,AVA,,auto,
North Fork of Roanoke,노스 포크 로어노크,AVA,,auto,
North Yuba,노스 유바,AVA,,auto,
Northern Neck George Washington Birthplace,노던 넥 조지 워싱턴 버스플레이스,AVA,,auto,
Northern Sonoma,노던 소노마,AVA,,auto,
Noto,노토,,,manual,
Nuits-Saint-Georges,뉘 생 조르주,,,added,
Nuoro,누오로,,,manual,
Nurra,누라,,,manual,
Oak Knoll District of Napa Valley,오크 놀 나파 밸리,AVA,,auto,
Oakville,오크빌,AVA,,manual,
Offida,오피다,,,manual,
Ogliastra,올리아스트라,,,manual,
Ohio River Valley,오하이오 리버 밸리,AVA,,auto,
Okanagan Valley,오카나간 밸리,,,manual,
Old Mission Peninsula,올드 미션 페닌슐라,AVA,,auto,
Oltradige,올트라디제,,,manual,
Oltrepò Pavese,올트레포 파베제,,,manual,
Orange,오렌지,,,manual,
Oristanese,오리스타네세,,,manual,
Orotava Valley,오로타바 밸리,,,manual,
Ortona,오르토나,,,manual,
Orvieto,오르비에토,,,manual,
Outer Coastal Plain,아우터 코스털 플레인,AVA,,auto,
Ozark Highlands,오자크 하이랜즈,AVA,,auto,
Ozark Mountain,오자크 마운틴,AVA,,auto,
Paarl,파를,,,added,
Pacheco Pass,파체코 패스,AVA,,auto,
Padthaway,패드서웨이,,,manual,
Paicines,파이시네스,AVA,,auto,
Palatinate,팔츠,,,manual,
Palmela,팔멜라,DOC,,manual,
Pantelleria,판텔레리아,,,manual,
Parteolla,파르테올라,,,manual,
Paso Robles,파소 로블스,AVA,,manual,
Paso Robles Estrella District,파소 로블스 에스트레야,AVA,,auto,
Paso Robles Geneseo District,파소 로블스 제네세오,AVA,,auto,
Paso Robles Highlands District,파소 로블스 하이랜즈,AVA,,auto,
Paso Robles Willow Creek District,파소 로블스 윌로우 크릭,AVA,,auto,
Pauillac,포이약,,,added,
Paulsell Valley,폴셀 밸리,AVA,,auto,
Penedes,페네데스,,,added,
Penisola Sorrentina,페니솔라 소렌티나,,,manual,
Pentro d'Isernia,펜트로 디세르니아,,,manual,
Península de Setúbal,페닌술라 드 세투발,VR,,manual,
Pernand-Vergelesses,페르낭 베르줄레스,,,added,
