name_en,name_ko,tier,region_group,ko_source,note
Bernhard Huber,베른하르트 후버,,Germany/Austria,producer,
Bernhard Ott,베른하르트 오트,,Germany/Austria,producer,
Beronia,베로니아,,Iberia,producer,
Bertani,베르타니,,Italy,producer,
Bibi Graetz,비비 그라에츠,,,producer,
Bicicleta,비시클레타,,South America,producer,
Billecart-Salmon,빌카르 살몽,,Champagne,producer,
Bin 28,빈 28,,,producer,
Bin 389,빈 389,,,producer,
Bin 407,빈 407,,,producer,
Biondi-Santi,비온디 산티,,Italy,producer,
Bisol,비솔,,Italy,producer,
Black Tower,블랙 타워,,Germany/Austria,producer,
Blanc de Blancs,블랑 드 블랑,,,producer,
Blandy's,블랜디스,,Iberia,producer,
Blason d'Issan,블라종 디상,,France,producer,
Block 3,블록 3,,,producer,
Blue Nun,블루 넌,,Germany/Austria,producer,
Bodega Colome,보데가 콜로메,,South America,producer,
Bodega Norton,보데가 노턴,,South America,producer,
Bodega Septima,보데가 셉티마,,South America,producer,
Bodegas Aalto,보데가스 알토,,,producer,
Bodegas Muga,보데가스 무가,,Iberia,producer,
Bodegas Ontanon,보데가스 온타뇬,,Iberia,producer,
Bodegas Portia,보데가스 포르티아,,Iberia,producer,
Boekenhoutskloof,부켄하우츠클루프,,Oceania/SA,producer,
Bogle,보글,,USA,producer,
Bogle Vineyards,보글 빈야드,,New World,producer,
Bolgheri Sassicaia,볼게리 사시카이아,,Italy,producer,
Bolla,볼라,,Italy,producer,
Bollinger,볼랭저,,Champagne,producer,
Bollinger Grande Annee,볼랭저 그랑 아네,,,alias,
Borgo Maragliano,보르고 마라글리아노,,Italy,producer,
Borsao,보르사오,,Iberia,producer,
Bottega,보테가,,Italy,producer,
Bouchard Aine,부샤르 애네,,France,producer,
Bouchard Finlayson,부샤르 핀레이슨,,France,producer,
Bouchard Pere et Fils,부샤르 페레 에 피스,,Burgundy,producer,
Braida,브라이다,,Italy,producer,
Brancott Estate,브랑콧 에스테이트,,New World,producer,
Bread & Butter,브레드 앤 버터,,New World,producer,
Brokenwood,브로큰우드,,New World,producer,
Brundlmayer,브륀들마이어,,Germany/Austria,producer,
Bruno Giacosa,브루노 자코사,,Italy,producer,
Bruno Paillard,브뤼노 파야르,,Champagne,producer,
Bryant Family,브라이언트 패밀리,,USA,producer,
CVNE,쿠네,,Iberia,producer,
Ca' Marcanda,카 마르칸다,,Italy,producer,
Ca' del Bosco,카 델 보스코,,Italy,producer,
Cakebread Cellars,케이크브레드 셀러,,USA,producer,
Calem,칼렘,,Iberia,producer,
Calvet,칼베,,France,producer,
Campo Viejo,캄포 비에호,,Iberia,producer,
Cantele,칸텔레,,Italy,producer,
Cantina Diomede,칸티나 디오메데,,Italy,producer,
Cantine Colosi,칸티네 콜로시,,Italy,producer,
Cantine Ermes,칸티네 에르메스,,Italy,producer,
Care,카레,,Iberia,producer,
Carmen,카르멘,,South America,producer,
Carnival of Love,카니발 오브 러브,,,producer,
Carnivor,카니보어,,New World,producer,
Carruades de Lafite,카뤼아드 드 라피트,,,producer,
Casa Castillo,카사 카스티요,,Iberia,producer,
Casa Ferreirinha,카사 페레이리냐,,Iberia,producer,
Casa Lapostolle,카사 라포스톨,,South America,producer,
Casa Silva,카사 실바,,South America,producer,
Casal Garcia,카살 가르시아,,Iberia,producer,
Casamatta,카자마타,,,producer,
Casanova di Neri,카사노바 디 네리,,Italy,producer,
Cascina Chicco,카시나 키코,,Italy,producer,
Casillero del Diablo,카시예로 델 디아블로,,South America,producer,
Castello Banfi,카스텔로 반피,,Italy,producer,
Castello di Ama,카스텔로 디 아마,,Italy,producer,
Castello di Volpaia,카스텔로 디 볼파이아,,Italy,producer,
Catena,카테나,,South America,producer,
Catena Zapata,카테나 사파타,,South America,producer,
Cave de Tain,카브 드 탱,,France,producer,
Caymus,케이머스,,USA,producer,
Caymus Vineyards,케이머스 빈야드,,USA,producer,
Cayuse,케이유즈,,USA,producer,
Cecchi,체키,,Italy,producer,
Ceretto,체레토,,Italy,producer,
Chanson,샹송,,France,producer,
Chapoutier,샤푸티에,,France,producer,
Chapoutier Belleruche,샤푸티에 벨르뤼슈,,France,producer,
Charles Heidsieck,샤를 하이직,,Champagne,producer,
Chateau Angelus,샤토 앙젤뤼스,,Bordeaux,producer,
Chateau Ausone,샤토 오존,,Bordeaux,producer,
Chateau Balestard-La-Tonnelle,샤토 발레스타르 라 토넬,,Bordeaux,producer,
Chateau Barde-Haut,샤토 바르드 오,,Bordeaux,producer,
Chateau Batailley,샤토 바타이에,,Bordeaux,producer,
Chateau Beau-Sejour Becot,샤토 보세주르 베코,,Bordeaux,producer,
Chateau Beaumont,샤토 보몽,,,producer,
Chateau Beausejour,샤토 보세주르,,Bordeaux,producer,
Chateau Beausejour-Duffau,샤토 보세주르 뒤포,,Bordeaux,producer,
Chateau Belair,샤토 벨레르,,Bordeaux,producer,
Chateau Belgrave,샤토 벨그라브,,,producer,
Chateau Bellevue,샤토 벨뷰,,France,producer,
Chateau Beychevelle,샤토 베슈벨,,Bordeaux,producer,
Chateau Bourgneuf,샤토 부르뇌프,,Bordeaux,producer,
Chateau Boyd-Cantenac,샤토 보이드 캉트냑,,,producer,
Chateau Branaire-Ducru,샤토 브라네르 뒤크뤼,,Bordeaux,producer,
Chateau Brane-Cantenac,샤토 브란 캉트냑,,Bordeaux,producer,
Chateau Cadet-Piola,샤토 카데 피올라,,Bordeaux,producer,
Chateau Calon-Segur,샤토 칼롱 세귀르,,Bordeaux,producer,
Chateau Canon,샤토 카농,,Bordeaux,producer,
Chateau Canon Moueix,샤토 카농 무엑스,,Bordeaux,producer,
Chateau Canon de Brem,샤토 카농 드 브렘,,Bordeaux,producer,
Chateau Canon-la-Gaffeliere,샤토 카농 라 가플리에르,,Bordeaux,producer,
Chateau Cantelys,샤토 캉텔리스,,France,producer,
Chateau Cantemerle,샤토 캉트메를,,Bordeaux,producer,
Chateau Cantenac-Brown,샤토 캉트냑 브라운,,Bordeaux,producer,
Chateau Carbonnieux,샤토 카르보니외,,,producer,
Chateau Carbonnieux Blanc,샤토 카르보니외 블랑,,,producer,
Chateau Cassagne Haut-Canon La Truffiere,샤토 카사뉴 오 카농 라 트뤼피에르,,Bordeaux,producer,
Chateau Certan de May,샤토 세르탕 드 메,,Bordeaux,producer,
Chateau Certan-Giraud,샤토 세르탕 지로,,Bordeaux,producer,
Chateau Charmail,샤토 샤르마이,,Bordeaux,producer,
Chateau Chasse-Spleen,샤토 샤스 스플린,,Bordeaux,producer,
Chateau Cheval Blanc,샤토 슈발 블랑,,Bordeaux,producer,
Chateau Citran,샤토 시트랑,,Bordeaux,producer,
Chateau Clerc-Milon,샤토 클레르 밀롱,,Bordeaux,producer,
Chateau Climens,샤토 클리망,,Bordeaux,producer,
Chateau Clinet,샤토 클리네,,Bordeaux,producer,
Chateau Cos Labory,샤토 코스 라보리,,,producer,
Chateau Cos d'Estournel,샤토 코스 데스투르넬,,Bordeaux,producer,
Chateau Coutet,샤토 쿠테,,Bordeaux,producer,
Chateau Croque-Michotte,샤토 크로크 미쇼트,,Bordeaux,producer,
Chateau Dalem,샤토 달렘,,Bordeaux,producer,
Chateau Dauzac,샤토 도자크,,Bordeaux,producer,
Chateau Desmirail,샤토 데스미라이,,,producer,
Chateau Ducru-Beaucaillou,샤토 뒤크뤼 보카이유,,Bordeaux,producer,
Chateau Duhart-Milon,샤토 뒤아르 밀롱,,Bordeaux,producer,
Chateau Durfort-Vivens,샤토 뒤르포르 비방,,Bordeaux,producer,
Chateau Faugeres,샤토 포제르,,Bordeaux,producer,
Chateau Ferrand-Lartigue,샤토 페랑 라르티그,,Bordeaux,producer,
Chateau Ferriere,샤토 페리에르,,,producer,
Chateau Figeac,샤토 피작,,Bordeaux,producer,
Chateau Fontenil,샤토 퐁트닐,,Bordeaux,producer,
Chateau Fourcas-Loubaney,샤토 푸르카 루바네,,Bordeaux,producer,
Chateau Gassin,샤토 가생,,,producer,
Chateau Gazin,샤토 가쟁,,Bordeaux,producer,
Chateau Giscours,샤토 지스쿠르,,Bordeaux,producer,
Chateau Gloria,샤토 글로리아,,Bordeaux,producer,
Chateau Gombaude-Guillot,샤토 곰보드 기요,,Bordeaux,producer,
Chateau Grand Village,샤토 그랑 빌라주,,France,producer,
Chateau Grand-Mayne,샤토 그랑 멘,,Bordeaux,producer,
Chateau Grand-Pontet,샤토 그랑 퐁테,,Bordeaux,producer,
Chateau Grand-Puy-Ducasse,샤토 그랑 퓌 뒤카스,,Bordeaux,producer,
Chateau Grand-Puy-Lacoste,샤토 그랑 퓌 라코스트,,Bordeaux,producer,
Chateau Gruaud-Larose,샤토 그뤼오 라로즈,,Bordeaux,producer,
Chateau Guiraud,샤토 기로,,Bordeaux,producer,
Chateau Haut-Bages-Liberal,샤토 오 바주 리베랄,,Bordeaux,producer,
Chateau Haut-Bailly,샤토 오바이,,Bordeaux,producer,
Chateau Haut-Batailley,샤토 오 바타이에,,Bordeaux,producer,
Chateau Haut-Brion,샤토 오브리옹,,Bordeaux,producer,
Chateau Haut-Brion Blanc,샤토 오브리옹 블랑,,,producer,
Chateau Haut-Cardinal,샤토 오 카르디날,,,producer,
Chateau Haut-Marbuzet,샤토 오 마르뷔제,,Bordeaux,producer,
Chateau Kirwan,샤토 키르완,,Bordeaux,producer,
Chateau L'Arrosee,샤토 라로제,,Bordeaux,producer,
Chateau L'Eglise-Clinet,샤토 레글리즈 클리네,,Bordeaux,producer,
Chateau L'Enclos,샤토 랑클로,,Bordeaux,producer,
Chateau L'Evangile,샤토 레방질,,Bordeaux,producer,
Chateau L'Hermitage,샤토 레르미타주,,Bordeaux,producer,
Chateau La Conseillante,샤토 라 콩세양트,,Bordeaux,producer,
Chateau La Couspaude,샤토 라 쿠스포드,,Bordeaux,producer,
Chateau La Croix de Gay,샤토 라 크루아 드 게,,Bordeaux,producer,
Chateau La Croix du Casse,샤토 라 크루아 뒤 카스,,Bordeaux,producer,
Chateau La Dauphine,샤토 라 도핀,,Bordeaux,producer,
Chateau La Dominique,샤토 라 도미니크,,Bordeaux,producer,
Chateau La Fleur de Gay,샤토 라 플뢰르 드 게,,Bordeaux,producer,
Chateau La Fleur-Petrus,샤토 라 플뢰르 페트뤼스,,Bordeaux,producer,
Chateau La Fleur-de-Jaugue,샤토 라 플뢰르 드 조그,,Bordeaux,producer,
Chateau La Gaffeliere,샤토 라 가플리에르,,Bordeaux,producer,
Chateau La Gomerie,샤토 라 고므리,,Bordeaux,producer,
Chateau La Grave a Pomerol,샤토 라 그라브 아 포므롤,,Bordeaux,producer,
Chateau La Lagune,샤토 라 라귄,,Bordeaux,producer,
Chateau La Louviere,샤토 라 루비에르,,Bordeaux,producer,
Chateau La Mission Haut-Brion,샤토 라 미시옹 오브리옹,,Bordeaux,producer,
Chateau La Mission Haut-Brion Blanc,샤토 라 미시옹 오브리옹 블랑,,,producer,
Chateau La Mondotte,샤토 라 몽도트,,Bordeaux,producer,
Chateau La Tour Carnet,샤토 라 투르 카르네,,,producer,
Chateau La Tour Haut-Brion,샤토 라 투르 오브리옹,,Bordeaux,producer,
Chateau La Tour de Mons,샤토 라 투르 드 몽,,,producer,
Chateau La Tour-du-Pin-Figeac,샤토 라 투르 뒤 팽 피작,,Bordeaux,producer,
Chateau La Vieille-Cure,샤토 라 비에유 퀴르,,Bordeaux,producer,
Chateau Labegorce-Zede,샤토 라베고르스 제데,,Bordeaux,producer,
Chateau Lafagotte,샤토 라파고트,,,producer,
Chateau Lafite Rothschild,샤토 라피트 로칠드,,Bordeaux,producer,
Chateau Lafleur,샤토 라플뢰르,,Bordeaux,producer,
Chateau Lafon-Rochet,샤토 라퐁 로셰,,Bordeaux,producer,
Chateau Lagrange,샤토 라그랑주,,Bordeaux,producer,
Chateau Lanessan,샤토 라네상,,Bordeaux,producer,
Chateau Langoa-Barton,샤토 랑고아 바르통,,Bordeaux,producer,
Chateau Larcis-Ducasse,샤토 라르시 뒤카스,,Bordeaux,producer,
Chateau Larmande,샤토 라르망드,,Bordeaux,producer,
Chateau Larrivet Haut-Brion,샤토 라리베 오브리옹,,France,producer,
Chateau Lascombes,샤토 라스콩브,,Bordeaux,producer,
Chateau Latour,샤토 라투르,,Bordeaux,producer,
Chateau Latour a Pomerol,샤토 라투르 아 포므롤,,Bordeaux,producer,
Chateau Le Bon Pasteur,샤토 르 봉 파스퇴르,,Bordeaux,producer,
Chateau Le Gay,샤토 르 게,,Bordeaux,producer,
Chateau Le Haut-Medoc de Portets,샤토 르 오 메독 드 포르테,,,producer,
Chateau Le Pin,샤토 르 팽,,Bordeaux,producer,
Chateau Le Tertre-Roteboeuf,샤토 르 테르트르 로트뵈프,,Bordeaux,producer,
Chateau Leoville Barton,샤토 레오빌 바르통,,Bordeaux,producer,
Chateau Leoville Las Cases,샤토 레오빌 라스 카스,,Bordeaux,producer,
Chateau Leoville Poyferre,샤토 레오빌 푸아페레,,Bordeaux,producer,
Chateau Les Carmes Haut-Brion,샤토 레 카름 오브리옹,,Bordeaux,producer,
Chateau Les Ormes de Pez,샤토 레 조름 드 페즈,,Bordeaux,producer,
Chateau Lynch-Bages,샤토 랭슈 바주,,Bordeaux,producer,
Chateau Magdelaine,샤토 마들렌,,Bordeaux,producer,
Chateau Malescot Saint-Exupery,샤토 말레스코 생 텍쥐페리,,Bordeaux,producer,
Chateau Margaux,샤토 마고,,Bordeaux,producer,
Chateau Marquis-de-Terme,샤토 마르키 드 테름,,Bordeaux,producer,
Chateau Maucaillou,샤토 모카이유,,Bordeaux,producer,
Chateau Meyney,샤토 메네,,Bordeaux,producer,
Chateau Monbousquet,샤토 몽부스케,,Bordeaux,producer,
Chateau Mont-Perat,샤토 몽페라,,,producer,
Chateau Montelena,샤토 몬텔레나,,USA,producer,
Chateau Montrose,샤토 몽로즈,,Bordeaux,producer,
Chateau Montus,샤토 몽튀스,,France,producer,
Chateau Moulin Saint-Georges,샤토 물랭 생 조르주,,Bordeaux,producer,
Chateau Moulin-Haut-Laroque,샤토 물랭 오 라로크,,Bordeaux,producer,
Chateau Moulin-Pey-Labrie,샤토 물랭 페 라브리,,Bordeaux,producer,
Chateau Mouton Rothschild,샤토 무통 로칠드,,Bordeaux,producer,
Chateau Nenin,샤토 네냉,,Bordeaux,producer,
Chateau Palmer,샤토 팔머,,Bordeaux,producer,
Chateau Pape Clement,샤토 파프 클레망,,Bordeaux,producer,
Chateau Pavie,샤토 파비,,Bordeaux,producer,
Chateau Pavie-Decesse,샤토 파비 드세스,,Bordeaux,producer,
Chateau Pavie-Macquin,샤토 파비 마캥,,Bordeaux,producer,
Chateau Pedesclaux,샤토 페데스클로,,,producer,
Chateau Petit-Village,샤토 프티 빌라주,,Bordeaux,producer,
Chateau Phelan Segur,샤토 펠랑 세귀르,,,producer,
Chateau Pichon Lalande,샤토 피숑 라랑드,,Bordeaux,producer,
Chateau Pichon Longueville Comtesse de Lalande,샤토 피숑 롱그빌 콩테스 드 랄랑드,,Bordeaux,producer,
Chateau Pichon-Longueville Baron,샤토 피숑 롱그빌 바롱,,Bordeaux,producer,
Chateau Pontet-Canet,샤토 퐁테 카네,,Bordeaux,producer,
Chateau Potensac,샤토 포탕삭,,Bordeaux,producer,
Chateau Pouget,샤토 푸제,,,producer,
Chateau Poujeaux,샤토 푸조,,Bordeaux,producer,
Chateau Prieure-Lichine,샤토 프리외레 리신,,Bordeaux,producer,
Chateau Quinault-L'Enclos,샤토 키노 랑클로,,Bordeaux,producer,
Chateau Rauzan-Segla,샤토 로장 세글라,,Bordeaux,producer,
Chateau Rayas,샤토 라야스,,France,producer,
Chateau Reynon,샤토 레이농,,,producer,
Chateau Rieussec,샤토 리외섹,,Bordeaux,producer,
Chateau Roc de Cambes,샤토 로크 드 캉브,,Bordeaux,producer,
Chateau Rol Valentin,샤토 롤 발랑탱,,Bordeaux,producer,
Chateau Saint-Pierre,샤토 생 피에르,,Bordeaux,producer,
Chateau Simone,샤토 시몬,,France,producer,
Chateau Siran,샤토 시랑,,Bordeaux,producer,
Chateau Smith Haut Lafitte,샤토 스미스 오 라피트,,Bordeaux,producer,
Chateau Smith Haut Lafitte Blanc,샤토 스미스 오 라피트 블랑,,,producer,
Chateau Sociando-Mallet,샤토 소시앙도 말레,,Bordeaux,producer,
Chateau Soutard,샤토 수타르,,Bordeaux,producer,
Chateau St. Jean,샤토 세인트 진,,USA,producer,
Chateau Ste. Michelle,샤토 생 미셸,,USA,producer,
Chateau Suduiraut,샤토 쉬뒤로,,Bordeaux,producer,
Chateau Talbot,샤토 탈보,,Bordeaux,producer,
Chateau Tanunda,샤토 타눈다,,New World,producer,
Chateau Tayac Cuvee Prestige,샤토 타이악 퀴베 프레스티주,,Bordeaux,producer,
Chateau Tour Haut-Caussan,샤토 투르 오 코상,,Bordeaux,producer,
Chateau Tour du Haut-Moulin,샤토 투르 뒤 오 물랭,,Bordeaux,producer,
Chateau Troplong Mondot,샤토 트로플롱 몽도,,Bordeaux,producer,
Chateau Trotanoy,샤토 트로타누아,,Bordeaux,producer,
Chateau Trotte Vieille,샤토 트로트 비에유,,Bordeaux,producer,
Chateau Valandraud,샤토 발랑드로,,Bordeaux,producer,
Chateau d'Angludet,샤토 당글뤼데,,Bordeaux,producer,
Chateau d'Armailhac,샤토 다르마이악,,Bordeaux,producer,
Chateau d'Arsac,샤토 다르삭,,,producer,
Chateau d'Esclans,샤토 데스클랑,,France,producer,
Chateau d'Issan,샤토 디상,,Bordeaux,producer,
Chateau d'Yquem,샤토 디켐,,Bordeaux,producer,
Chateau de Beaucastel,샤토 드 보카스텔,,France,producer,
Chateau de Camensac,샤토 드 카망삭,,,producer,
Chateau de Fieuzal,샤토 드 피외잘,,Bordeaux,producer,
Chateau de Montmirail,샤토 드 몽미라이,,,producer,
Chateau de Nalys,샤토 드 날리스,,,producer,
Chateau du Tertre,샤토 뒤 테르트르,,Bordeaux,producer,
Chateau le Puy,샤토 르 퓌,,,producer,
Cheval des Andes,슈발 데 안데스,,South America,producer,
Chilcas,칠카스,,,producer,
Cinzano,친자노,,Italy,producer,
Clarendon Hills,클라렌든 힐스,,Oceania/SA,producer,
Clemens Busch,클레멘스 부슈,,Germany/Austria,producer,
Cleto Chiarli,클레토 키알리,,Italy,producer,
Clos Apalta,클로 아팔타,,South America,producer,
Clos Erasmus,클로스 에라스무스,,,producer,
Clos Mogador,클로스 모가도르,,Iberia,producer,
Clos Rene,클로 르네,,Bordeaux,producer,
Clos de L'Oratoire,클로 드 로라투아르,,Bordeaux,producer,
Clos des Fous,클로 데 푸,,South America,producer,
Clos des Jacobins,클로 데 자코뱅,,Bordeaux,producer,
Clos des Papes,클로 데 파프,,France,producer,
Clos du Bois,클로 뒤 부아,,New World,producer,
Cloudy Bay,클라우디 베이,,Oceania/SA,producer,
Cockburn's,코번스,,Iberia,producer,
Codorniu,코도르니우,,Iberia,producer,
Col d'Orcia,콜 도르차,,,producer,
Coleraine,콜레인,,,producer,
Colgin,콜긴,,USA,producer,
Colome,콜로메,,South America,producer,
Columbia Crest,컬럼비아 크레스트,,New World,producer,
Concha y Toro,콘차 이 토로,,South America,producer,
Concha y Toro Don Melchor,콘차이토로 돈 멜초,,,alias,
Connetable de Talbot,코네타블 드 탈보,,,producer,
Cono Sur,코노 수르,,South America,producer,
Conte di Campiano,콘테 디 캄피아노,,Italy,producer,
Contino,콘티노,,Iberia,producer,
Continuum,콘티뉴엄,,USA,producer,
Coppo,코포,,Italy,producer,
Cordier,코르디에,,France,producer,
Corvo,코르보,,Italy,producer,
Costa Russi,코스타 루시,,,producer,
Cousino-Macul,쿠시뇨 마쿨,,South America,producer,
Couvent des Jacobins,쿠방 데 자코뱅,,Bordeaux,producer,
Coyam,코얌,,South America,producer,
Craggy Range,크래기 레인지,,Oceania/SA,producer,
Cristal,크리스탈,,Champagne,producer,
Croft,크로프트,,Iberia,producer,
Cros-Parantoux,크로 파랑투,,,producer,
Cullen Wines,컬렌 와인즈,,Oceania/SA,producer,
Cumaro,쿠마로,,,producer,
Cusumano,쿠수마노,,Italy,producer,
Cuvee Frederic Emile,퀴베 프레데릭 에밀,,,producer,
Cuvee Reservee,퀴베 레제르베,,,producer,
Cuvee da Capo,퀴베 다 카포,,,producer,
Dal Forno Romano,달 포르노 로마노,,,producer,
De Bortoli,데 보르톨리,,New World,producer,
De Martino,데 마르티노,,South America,producer,
Decoy,디코이,,New World,producer,
Deinhard,다인하르트,,Germany/Austria,producer,
Delas,델라스,,France,producer,
Delas Freres,델라스 프레르,,France,producer,
Delheim,델하임,,New World,producer,
Deutz,되츠,,Champagne,producer,
Di Majo Norante,디 마요 노란테,,Italy,producer,
Diamond Creek,다이아몬드 크릭,,USA,producer,
Didier Dagueneau,디디에 다그노,,France,producer,
Disznoko,디스노코,,Germany/Austria,producer,
Dog Point,독 포인트,,Oceania/SA,producer,
Dom Perignon,동 페리뇽,,Champagne,producer,
Domaine Alain Burguet,도멘 알랭 뷔르게,,,producer,
Domaine Alain Graillot,도멘 알맹,,,alias,
Domaine Anne Gros,도멘 안 그로,,Burgundy,producer,
Domaine Antoine Jobard,도멘 앙투안 조바르,,,producer,
Domaine Armand Rousseau,도멘 아르망 루소,,Burgundy,producer,
Domaine Auguste Clape,도멘 오귀스트 클라프,,,producer,
Domaine Bachelet,도멘 바슐레,,Burgundy,producer,
Domaine Bonneau du Martray,도멘 보노 뒤 마르트레,,Burgundy,producer,
Domaine Bruno Clair,도멘 브뤼노 클레르,,Burgundy,producer,
Domaine Chandon,도멘 샹동,,France,producer,
Domaine Claude Dugat,도멘 클로드 뒤가,,,producer,
Domaine Coche-Dury,도멘 코슈 뒤리,,Burgundy,producer,
Domaine Comte Georges de Vogue,도멘 콩트 조르주 드 보귀에,,Burgundy,producer,
Domaine Comtes Lafon,도멘 콩트 라퐁,,Burgundy,producer,
Domaine Dauvissat,도멘 도비사,,Burgundy,producer,
Domaine Denis Mortet,도멘 드니 모르테,,Burgundy,producer,
Domaine Drouhin Oregon,도멘 드루앙 오리건,,USA,producer,
Domaine Dujac,도멘 뒤작,,Burgundy,producer,
Domaine Etienne Sauzet,도멘 에티엔 소제,,Burgundy,producer,
Domaine Faiveley,도멘 페블레,,Burgundy,producer,
Domaine Fontaine-Gagnard,도멘 퐁텐 가냐르,,,producer,
Domaine Fourrier,도멘 푸리에,,Burgundy,producer,
Domaine Franck Balthazar,도멘 프랑크 발타자르,,,producer,
Domaine Francois Raveneau,도멘 프랑수아 라브노,,,producer,
Domaine Georges Roumier,도멘 조르주 루미에,,Burgundy,producer,
Domaine Henri Boillot,도멘 앙리 부아요,,,producer,
Domaine Henri Gouges,도멘 앙리 구주,,,producer,
Domaine Hubert Lignier,도멘 위베르 리니에,,Burgundy,producer,
Domaine Huet,도멘 위에,,France,producer,
Domaine Jamet,도멘 자메,,France,producer,
Domaine Lafage,도멘 라파주,,,producer,
Domaine Lafarge,도멘 라파르주,,Burgundy,producer,
Domaine Laroche,도멘 라로슈,,Burgundy,producer,
Domaine Leflaive,도멘 르플레브,,Burgundy,producer,
Domaine Leroy,도멘 르로이,,Burgundy,producer,
Domaine Lucien Le Moine,도멘 뤼시앵 르 무안,,,producer,
Domaine Marcel Deiss,도멘 마르셀 다이스,,France,producer,
Domaine Marquis d'Angerville,도멘 마르키 당제르빌,,Burgundy,producer,
Domaine Meo-Camuzet,도멘 메오 카뮈제,,Burgundy,producer,
Domaine Michel Colin-Deleger,도멘 미셸 콜랭 들레제,,,producer,
Domaine Mugnier,도멘 뮈니에,,Burgundy,producer,
Domaine Ogier,도멘 오지에,,,producer,
Domaine Ostertag,도멘 오스테르타그,,France,producer,
Domaine Ott,도멘 오트,,France,producer,
Domaine Philippe Charlopin-Parizot,도멘 필리프 샤를로팽 파리조,,,producer,
Domaine Ponsot,도멘 퐁소,,Burgundy,producer,
Domaine Ramonet,도멘 라모네,,Burgundy,producer,
Domaine Raveneau,도멘 라브노,,Burgundy,producer,
Domaine Renardat-Fache,도멘 르나르다 파슈,,,producer,
Domaine Robert Groffier,도멘 로베르 그로피에,,,producer,
Domaine Roulot,도멘 룰로,,Burgundy,producer,
Domaine Saint Cosme,도멘 생 콤,,,producer,
Domaine Schlumberger,도멘 슐룸베르거,,,producer,
Domaine Serene,도멘 세렌,,USA,producer,
Domaine Takahashi,도멘 다카하시,,,producer,
Domaine Tempier,도멘 탕피에,,France,producer,
Domaine Trapet,도멘 트라페,,Burgundy,producer,
Domaine Vacheron,도멘 바슈롱,,France,producer,
Domaine Vincent Dauvissat,도멘 뱅상 도비사,,,producer,
Domaine Weinbach,도멘 바인바흐,,France,producer,
Domaine Zind-Humbrecht,도멘 진트 훔브레히트,,France,producer,
Domaine d'Auvenay,도멘 도브네,,,producer,
Domaine de Chevalier,도멘 드 슈발리에,,Bordeaux,producer,
